Aar;VdrNr;Vassdrag;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
2015;005.4Z;Gjersjøelva;2;0;0;1;0;0;0;0;0;0;0;0
2016;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2017;005.4Z;Gjersjøelva;3;0;0;2;0;0;0;0;0;0;0;0
2018;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2019;005.4Z;Gjersjøelva;15;0;0;8;0;0;0;0;0;0;0;0
2020;005.4Z;Gjersjøelva;4;4;0;3;1;0;0;0;0;0;0;0
2021;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2022;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2023;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
2024;005.4Z;Gjersjøelva;0;0;0;0;0;0;0;0;0;0;0;0
1993;006.Z;Akerselva;71;7;0;46;1;0;0;0;0;0;0;0
1994;006.Z;Akerselva;120;75;8;80;19;1;0;0;0;0;0;0
1995;006.Z;Akerselva;454;14;9;297;3;1;0;0;0;0;0;0
1996;006.Z;Akerselva;0;0;0;0;0;0;0;0;0;0;0;0
1997;006.Z;Akerselva;37;36;0;20;10;0;0;0;0;0;0;0
1998;006.Z;Akerselva;26;10;8;14;3;1;0;0;0;0;0;0
1999;006.Z;Akerselva;6;0;0;3;0;0;0;0;0;0;0;0
2000;006.Z;Akerselva;3;0;0;1;0;0;0;0;0;0;0;0
2001;006.Z;Akerselva;15;0;0;8;0;0;0;0;0;0;0;0
2002;006.Z;Akerselva;0;0;0;0;0;0;0;0;0;0;0;0
2003;006.Z;Akerselva;34;4;0;19;1;0;0;0;0;0;0;0
2004;006.Z;Akerselva;22;4;8;15;1;1;0;0;0;0;0;0
2005;006.Z;Akerselva;13;4;0;10;1;0;0;0;0;0;0;0
2006;006.Z;Akerselva;1;0;0;1;0;0;0;0;0;0;0;0
2007;006.Z;Akerselva;11;4;0;8;1;0;0;0;0;0;0;0
2008;006.Z;Akerselva;4;0;0;2;0;0;0;0;0;0;0;0
2009;006.Z;Akerselva;8;0;0;5;0;0;0;0;0;0;0;0
2010;006.Z;Akerselva;1;0;0;1;0;0;0;0;0;0;0;0
2011;006.Z;Akerselva;0;0;0;0;0;0;0;0;0;0;0;0
2012;006.Z;Akerselva;0;0;0;0;0;0;0;0;0;0;0;0
2013;006.Z;Akerselva;0;0;0;0;0;0;0;0;0;0;0;0
2014;006.Z;Akerselva;0;0;0;0;0;0;0;0;0;0;0;0
2015;006.Z;Akerselva;0;0;0;0;0;0;0;0;0;0;0;0
2016;006.Z;Akerselva;1;0;0;2;0;0;0;0;0;0;0;0
2017;006.Z;Akerselva;43;35;0;25;8;0;12;8;0;23;2;0
2018;006.Z;Akerselva;3;0;0;2;0;0;0;0;0;1;0;0
2019;006.Z;Akerselva;35;27;0;25;7;0;6;3;0;13;1;0
2020;006.Z;Akerselva;111;15;8;69;4;1;7;0;0;14;0;0
2021;006.Z;Akerselva;6;4;0;3;1;0;3;0;0;5;0;0
2022;006.Z;Akerselva;7;0;0;4;0;0;2;0;0;5;0;0
2023;006.Z;Akerselva;40;77;0;25;17;0;3;11;0;6;3;0
2024;006.Z;Akerselva;62;67;7;36;15;1;14;4;0;9;1;0
1993;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
1994;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
1995;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
1996;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
1997;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
1998;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
1999;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2000;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2001;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2002;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2003;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2004;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2005;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2006;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2007;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2008;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2009;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2010;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2011;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2012;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2013;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2014;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2015;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2016;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2017;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2018;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2019;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2020;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2021;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2022;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2023;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
2024;007.1Z;Hoffselva;0;0;0;0;0;0;0;0;0;0;0;0
1993;007.Z;Lysakerelva;0;0;0;0;0;0;0;0;0;0;0;0
1994;007.Z;Lysakerelva;8;7;0;3;2;0;0;0;0;0;0;0
1995;007.Z;Lysakerelva;0;3;0;0;1;0;0;0;0;0;0;0
1996;007.Z;Lysakerelva;5;0;0;3;0;0;0;0;0;0;0;0
1997;007.Z;Lysakerelva;26;35;0;23;8;0;0;0;0;0;0;0
1998;007.Z;Lysakerelva;14;17;0;8;4;0;0;0;0;0;0;0
1999;007.Z;Lysakerelva;23;6;14;13;1;2;0;0;0;0;0;0
2000;007.Z;Lysakerelva;12;10;0;5;2;0;0;0;0;0;0;0
2001;007.Z;Lysakerelva;30;0;0;14;0;0;0;0;0;0;0;0
