Vassdrag;VdrNr;Andel_hunn;Fangst;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim
Forfjordelva;178.63Z;0.57;;;;;;TRUE
Gryttingvassdraget;185.3Z;0.57;1;;;;;FALSE
Gårdselvvassdraget;178.6Z;0.6;;;;;;TRUE
Gåsfjordvassdraget;185.23Z;0.58;1;;;;;FALSE
Helosvassdraget;180.11Z;0.55;1;;;;;FALSE
Holmstadvassdraget;185.4Z;0.58;1;0.75;;;;FALSE
Indre Straumfjordvassdraget;185.43Z;0.56;1;;;;;FALSE
Kaljordvassdraget;178.3Z;0.6;1;;;;;FALSE
Kjerringnesvassdraget;178.51Z;0.66;;;;;;TRUE
Klovassdraget;185.111Z;0.57;1;;;;;FALSE
Kobbedalselva;186.3Z;0.56;1;;;;;FALSE
Kongselvvassdraget;178.2Z;0.57;1;;;;;FALSE
Lahaugvassdraget;185.441Z;0.64;1;;;;;FALSE
Lifjordvassdraget;185.12Z;0.55;1;;;;;FALSE
Litlelvvassdraget;178.73Z;0.55;1;;;;;FALSE
Melavassdraget;186.51Z;0.59;1;;;;;FALSE
Nordsandvassdraget;185.81Z;0.55;1;;;;;FALSE
Nykvågvassdraget;185.71Z;0.57;1;;;;;FALSE
Oshaugvassdraget;185.44Z;0.57;1;;;;;FALSE
Osvollvassdraget;178.52Z;0.596814401;1;0.61;;;;FALSE
Ramsåa (Gårdselva);186.1Z;0.57;1;;;;;FALSE
Roksdalsvassdraget;186.2Z;0.61;;;;;;TRUE
Roksøyvassdraget;178.62Z;0.57;1;;;;;FALSE
Ryggedalsvassdraget;185.7Z;0.57;1;;;;;FALSE
Selnesvassdraget (Sortland);185.52Z;0.55;1;0.09;;;;FALSE
Skogvollvassdraget;186.53Z;0.58;1;0.28;;;;FALSE
Stavevassdraget;186.61Z;0.58;1;;;;;FALSE
Storelva (Lovik);178.74Z;0.57;1;;;;;FALSE
Straumevassdraget;185.6Z;0.57;1;;;;;FALSE
Svolværvassdraget;179.41Z;0.63;1;;;;;FALSE
Sørdalselva;178.54Z;0.57;1;;;;;FALSE
Vestpollvassdraget (Vågan);179.332Z;0.57;1;;;;;FALSE
Vikelva (Sortland);185.2Z;0.55;1;;;;;FALSE
Åseelva;186.22Z;0.55;;;;;;TRUE
Brøstadelva;193.3Z;0.57;1;0.07;;;;FALSE
Grasmyrvassdraget;194.4Z;0.62;;;;;;TRUE
Laukhellevassdraget;194.Z;0.61;;;;;;TRUE
Løksebotnvassdraget;191.4Z;0.59;1;0.78;;;;FALSE
Rensåvassdraget;189.3Z;0.62;;;;;;TRUE
Salangsvassdraget;191.Z;0.57;;;;;;TRUE
Skøelvvassdraget;193.Z;0.58;;;;;;TRUE
Spansdalselva;190.7Z;0.64;1;;;;;FALSE
Tennelvvassdraget;194.5Z;0.63;;;;;;TRUE
Tennevikelva;189.2Z;0.62;1;;;;425;FALSE
Vardnesvassdraget;194.61Z;0.56;0;0.81;;;;FALSE
Åndervassdraget;194.6Z;0.57;;;;;;TRUE
Lakselva i Aursfjorden;196.5Z;0.66;;;;;;TRUE
Målselvvassdraget;196.Z;0.55;;;;;;TRUE
