Vassdrag	Vdrnr	Aar	FangstHunnU3_Justert	FangstHunn37_Justert	FangstHunnO7_Justert	GytingHunnU3	GytingHunn37	GytingHunnO7	AndelHunnU3	AndelHunn37	AndelHunnO7
Skienselva	016.Z	2002	216.1121001	328.037093	28.44645502	593.8902467	1006.742712	117.762365	0.54512793	0.705031657	0.54879138
Skienselva	016.Z	2003	216.3565839	323.689452	32.6277914	466.4920556	987.9317973	118.7774691	0.542536604	0.69801323	0.548315592
Skienselva	016.Z	2004	214.5997066	316.2159852	33.54990947	485.5157055	1051.562739	143.2456792	0.548390951	0.701601787	0.55565076
Skienselva	016.Z	2005	218.9450287	306.5584428	31.66314657	503.7804504	1000.773839	122.9819539	0.548485141	0.699866751	0.549169162
Skienselva	016.Z	2006	221.942343	307.9403691	33.52512996	579.784794	844.165606	87.81314585	0.542336073	0.693703738	0.536410533
Skienselva	016.Z	2007	214.7096449	331.5167388	26.07874244	520.2611413	1001.107058	117.6209145	0.552992356	0.697261903	0.553543221
Skienselva	016.Z	2008	212.4261734	338.9657801	31.27475577	494.5137758	1082.600134	107.7223925	0.554149462	0.700924073	0.548474445
Skienselva	016.Z	2009	219.0128709	327.2217568	31.28138506	631.5373135	941.7992667	123.0079097	0.548383767	0.699563453	0.550365716
Skienselva	016.Z	2010	225.0424004	341.184487	34.13850157	540.5941791	949.4025401	120.7687694	0.54672101	0.694430737	0.549887208
Skienselva	016.Z	2011	219.6666566	331.0608914	42.87892901	560.401795	1029.905214	116.53188	0.544210563	0.703735364	0.554251726
Skienselva	016.Z	2012	214.0181644	333.704651	31.3920254	584.1589428	1062.708032	114.8594447	0.551014852	0.69737622	0.547687026
Skienselva	016.Z	2013	222.1492663	316.453349	26.07575404	526.8256241	938.2244158	76.3368426	0.551851615	0.71018888	0.548188702
Skienselva	016.Z	2014	218.2403873	317.9009786	39.05528814	612.8607077	998.2645226	108.8185501	0.549079397	0.70389897	0.552022231
Skienselva	016.Z	2015	216.2501572	323.6025155	32.07645291	561.2603151	1060.377337	124.5341588	0.545472615	0.69159919	0.548549114
Skienselva	016.Z	2016	217.3701311	329.4173586	32.45910152	527.2271677	1099.000187	125.5867638	0.556115398	0.700928354	0.541583736
Skienselva	016.Z	2017	231.9937437	320.4909477	29.23230029	561.9986189	1058.878071	109.5836785	0.559989207	0.697257425	0.54525361
Skienselva	016.Z	2018	211.953556	338.000049	33.64420788	615.1337555	999.7423291	121.5316863	0.542373457	0.704662367	0.549166882
Skienselva	016.Z	2019	213.7296039	318.3723914	29.295219	566.3510103	905.3348611	103.2126409	0.55104864	0.695428583	0.551952133
?roselva	009.Z	1993	11.40102152	25.62799271	4.39484535	4.024535497	36.62655308	3.931447894	0.39744565	0.690028677	0.548006824
